Year;RSCI;RSCI_TransposedTo60;RSCIRegion;Player;Draft;Drafted;PreDraftExperience;PickNumber;PickType;College;Team;StartYearNBA;EndYearNBA;YearsInTheLeague;WS;WSPerYear;PlayerLevel;DummyExpectedLevelPosition;OverUnderDraftedRating;RankDifferencesRSCIPick60Scale;RankAdjustementAbsolute
2009;48;28,8;2;Kawhi Leonard ;2011;1;2;15;3;San Diego State University;IND;2012;2019;8;65,8;8,225;5;2;3;13,8;13,8
1998;2;1,2;0;Rashard Lewis;1998;1;0;32;4; ;OKC;1999;2014;16;90,9;5,68125;4;1;3;-30,8;30,8
1999;9;5,4;0;Carlos Boozer ;2002;1;3;35;4;Duke University;CLE;2003;2015;13;80,3;6,17692307692308;4;1;3;-29,6;29,6
2001;10;6;0;David Lee ;2005;1;4;30;3;University of Florida;NYK;2006;2017;12;76;6,33333333333333;4;1;3;-24;24
2007;13;7,8;0;DeAndre Jordan ;2008;1;1;35;4;Texas A&M University;LAC;2009;2019;11;83,4;7,58181818181818;5;1;3;-27,2;27,2
2008;95;57;4;Draymond Green ;2012;1;4;35;4;Michigan State University;GSW;2013;2019;7;43,3;6,18571428571429;4;1;3;22;22
2017;8;4,8;0;Mitchell Robinson ;2018;1;1;36;4; ;NYK;2019;2019;1;6,1;6,1;4;1;3;-31,2;31,2
1998;55;33;2;Matt Barnes ;2002;1;4;46;4;University of California, Los Angeles;MEM;2004;2017;14;42,8;3,05714285714286;3;0;3;-13;13
1999;38;22,8;1;Matt Bonner ;2003;1;4;45;4;University of Florida;CHI;2005;2016;12;38,5;3,20833333333333;3;0;3;-22,2;22,2
2001;16;9,6;0;Mo Williams ;2003;1;2;47;4;University of Alabama;UTA;2004;2016;13;40;3,07692307692308;3;0;3;-37,4;37,4
2003;66;39,6;3;Paul Millsap ;2006;1;3;47;4;Louisiana Tech University;UTA;2007;2019;13;88,2;6,78461538461538;4;0;3;-7,4;7,4
2005;14;8,4;0;Amir Johnson;2005;1;0;56;4; ;DET;2006;2019;14;55,3;3,95;3;0;3;-47,6;47,6
2005;5;3;0;Louis Williams;2005;1;0;45;4; ;PHI;2006;2019;14;59,4;4,24285714285714;3;0;3;-42;42
2005;15;9;0;Danny Green ;2009;1;4;46;4;University of North Carolina;CLE;2010;2019;10;39,2;3,92;3;0;3;-37;37
2010;38;22,8;1;Dwight Powell ;2014;1;4;45;4;Stanford University;CHO;2015;2019;5;22,4;4,48;3;0;3;-22,2;22,2
2007;2;1,2;0;Kevin Love ;2008;1;1;5;1;University of California, Los Angeles;MEM;2009;2019;11;78,2;7,10909090909091;5;3;2;-3,8;3,8
2004;3;1,8;0;Al Jefferson;2004;1;0;15;3; ;BOS;2005;2018;14;71;5,07142857142857;4;2;2;-13,2;13,2
2004;29;17,4;1;Kyle Lowry ;2006;1;2;24;3;Villanova University;MEM;2007;2019;13;86,7;6,66923076923077;4;2;2;-6,6;6,6
2006;5;3;0;Ty Lawson ;2009;1;3;18;3;University of North Carolina;MIN;2010;2017;8;42,1;5,2625;4;2;2;-15;15
